,Episode,Time Step,Average Reward,Episode Reward
849,849,8345,9.33,12.0
850,850,8360,9.27,15.0
851,851,8370,9.42,10.0
852,852,8383,9.45,13.0
853,853,8391,9.4,8.0
854,854,8392,9.43,1.0
855,855,8393,9.21,1.0
856,856,8405,9.34,12.0
857,857,8415,9.37,10.0
858,858,8416,9.23,1.0
859,859,8424,9.37,8.0
860,860,8433,9.37,9.0
861,861,8444,9.36,11.0
862,862,8458,9.43,14.0
863,863,8462,9.32,4.0
864,864,8472,9.42,10.0
865,865,8479,9.34,7.0
866,866,8491,9.42,12.0
867,867,8495,9.3,4.0
868,868,8508,9.32,13.0
869,869,8517,9.35,9.0
870,870,8521,9.32,4.0
871,871,8530,9.34,9.0
872,872,8531,9.35,1.0
873,873,8543,9.32,12.0
874,874,8553,9.44,10.0
875,875,8583,9.5,30.0
876,876,8596,9.45,13.0
877,877,8607,9.71,11.0
878,878,8608,9.87,1.0
879,879,8638,9.28,30.0
880,880,8647,9.28,9.0
881,881,8657,9.41,10.0
882,882,8688,9.4,31.0
883,883,8689,9.31,1.0
884,884,8696,9.39,7.0
885,885,8697,9.44,1.0
886,886,8707,9.34,10.0
887,887,8721,9.31,14.0
888,888,8728,9.45,7.0
889,889,8730,9.39,2.0
890,890,8732,9.4,2.0
891,891,8745,9.32,13.0
892,892,8756,9.39,11.0
893,893,8768,9.27,12.0
894,894,8776,9.32,8.0
895,895,8784,9.4,8.0
896,896,8794,9.37,10.0
897,897,8824,9.24,30.0
898,898,8836,9.29,12.0
899,899,8863,9.27,27.0
900,900,8864,9.37,1.0
901,901,8876,9.43,12.0
902,902,8881,9.52,5.0
903,903,8882,9.35,1.0
904,904,8889,9.31,7.0
905,905,8895,9.47,6.0
906,906,8903,9.31,8.0
907,907,8904,9.34,1.0
908,908,8916,9.41,12.0
909,909,8923,9.46,7.0
910,910,8937,9.3,14.0
911,911,8941,9.51,4.0
912,912,8945,9.45,4.0
913,913,8946,9.21,1.0
914,914,8957,9.32,11.0
915,915,8958,9.21,1.0
916,916,8972,9.4,14.0
917,917,9000,14.5,28.0
918,918,9014,16.71,14.0
919,919,9027,17.01,13.0
920,920,9039,16.05,12.0
921,921,9053,12.95,14.0
922,922,9066,12.47,13.0
923,923,9078,11.75,12.0
924,924,9083,11.86,5.0
925,925,9110,9.75,27.0
926,926,9120,9.32,10.0
927,927,9140,9.42,20.0
928,928,9153,9.34,13.0
929,929,9159,9.43,6.0
