Timestep,Average Reward,Episode Reward
1190,333.78,0.0
1191,341.91,0.0
1192,336.75,0.0
1193,346.59,0.0
1194,321.43,0.0
1195,338.43,0.0
1196,389.03,0.0
1197,382.27,0.0
1198,416.94,0.0
1199,367.44,0.0
1200,361.95,0.0
1201,379.61,0.0
1202,383.9,0.0
1203,376.77,0.0
1204,394.06,0.0
1205,385.46,0.0
1206,376.49,0.0
1207,377.61,0.0
1208,389.07,0.0
1209,364.62,0.0
1210,363.04,0.0
1211,342.99,0.0
1212,360.6,0.0
1213,343.7,0.0
1214,352.83,0.0
1215,361.89,0.0
1216,299.41,0.0
1217,349.89,0.0
1218,308.37,0.0
1219,286.22,0.0
1220,296.82,0.0
1221,312.43,0.0
1222,295.97,0.0
1223,326.06,0.0
1224,298.45,0.0
1225,320.97,0.0
1226,316.01,0.0
1227,348.83,0.0
1228,358.36,0.0
1229,358.79,0.0
1230,294.02,0.0
1231,341.45,0.0
1232,333.55,0.0
1233,374.2,0.0
1234,330.89,0.0
1235,361.74,0.0
1236,326.7,0.0
1237,411.81,0.0
1238,369.92,0.0
1239,382.23,0.0
1240,380.61,0.0
1241,380.75,0.0
1242,367.51,0.0
1243,372.32,0.0
1244,374.46,0.0
1245,378.19,0.0
1246,382.63,0.0
1247,389.4,0.0
1248,353.29,0.0
1249,373.42,0.0
1250,378.4,0.0
1251,374.92,0.0
1252,392.58,0.0
1253,407.89,0.0
1254,366.58,0.0
1255,346.66,0.0
1256,334.52,0.0
1257,324.56,0.0
1258,345.96,0.0
1259,342.03,0.0
1260,341.11,0.0
1261,353.01,0.0
1262,346.99,0.0
1263,291.74,0.0
1264,334.09,0.0
1265,335.75,0.0
1266,355.25,0.0
1267,353.01,0.0
1268,323.67,0.0
1269,327.15,0.0
1270,344.07,0.0
1271,321.35,0.0
1272,349.14,0.0
1273,344.17,0.0
1274,339.01,0.0
1275,338.35,0.0
1276,343.66,0.0
1277,347.51,0.0
1278,345.36,0.0
1279,375.19,0.0
1280,385.43,0.0
1281,368.18,0.0
1282,339.21,0.0
1283,340.42,0.0
1284,402.58,0.0
